,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
313,DAL,Home,LAC,01/21/2020,L,240,107,39,91,42.9,12,43,27.9,17,24,70.8,12,37,49,23,7,8,13,28,-3
314,MEM,Home,NOP,01/20/2020,L,240,116,46,103,44.7,9,33,27.3,15,21,71.4,15,36,51,26,8,3,14,19,-10
315,NOP,Away,MEM,01/20/2020,W,240,126,42,88,47.7,21,48,43.8,21,24,87.5,5,38,43,24,7,7,17,18,10
316,CHA,Home,ORL,01/20/2020,L,240,83,29,76,38.2,10,33,30.3,15,20,75.0,9,30,39,21,4,5,18,18,-23
317,ORL,Away,CHA,01/20/2020,W,240,106,44,92,47.8,14,28,50.0,4,9,44.4,15,32,47,25,9,4,11,15,23
318,DET,Away,WAS,01/20/2020,L,240,100,38,89,42.7,10,32,31.3,14,20,70.0,11,30,41,19,10,5,17,18,-6
319,WAS,Home,DET,01/20/2020,W,240,106,42,82,51.2,9,24,37.5,13,16,81.3,6,38,44,22,9,6,20,23,6
320,MIN,Home,DEN,01/20/2020,L,240,100,38,91,41.8,13,42,31.0,11,14,78.6,11,31,42,26,7,5,9,11,-7
321,DEN,Away,MIN,01/20/2020,W,240,107,43,90,47.8,11,31,35.5,10,12,83.3,13,40,53,26,9,1,13,18,7
322,MIL,Home,CHI,01/20/2020,W,240,111,45,77,58.4,11,26,42.3,10,23,43.5,3,45,48,34,7,5,23,15,13
323,CHI,Away,MIL,01/20/2020,L,240,98,34,92,37.0,14,48,29.2,16,18,88.9,7,32,39,18,11,2,17,21,-13
324,TOR,Away,ATL,01/20/2020,W,240,122,38,92,41.3,13,42,31.0,33,43,76.7,12,33,45,25,13,3,14,25,5
325,ATL,Home,TOR,01/20/2020,L,240,117,41,83,49.4,12,33,36.4,23,33,69.7,9,41,50,26,9,8,24,34,-5
326,UTA,Home,IND,01/20/2020,W,240,118,47,87,54.0,12,31,38.7,12,12,100,11,42,53,22,5,4,21,11,30
327,IND,Away,UTA,01/20/2020,L,240,88,39,93,41.9,7,26,26.9,3,7,42.9,9,21,30,23,15,9,14,14,-30
328,POR,Home,GSW,01/20/2020,W,265,129,44,100,44.0,14,44,31.8,27,30,90.0,12,42,54,21,4,11,12,19,5
329,GSW,Away,POR,01/20/2020,L,265,124,48,116,41.4,9,36,25.0,19,22,86.4,19,41,60,30,7,5,9,25,-5
330,SAC,Away,MIA,01/20/2020,L,265,113,44,106,41.5,13,51,25.5,12,15,80.0,16,33,49,27,11,3,15,21,-5
331,MIA,Home,SAC,01/20/2020,W,265,118,42,83,50.6,16,42,38.1,18,22,81.8,5,37,42,26,9,3,21,20,5
