,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
95,Shai Gilgeous-Alexander,FOUL_ON_FLOOR,None,3:04,2,Clippers,Grizzlies,38 - 53,1,N/A,N/A,N/A
96,Ivan Rabb,FG_ASSISTED,Delon Wright,2:57,2,Grizzlies,Clippers,40 - 53,0,0,2,Layup
97,Ivica Zubac,FOUL_ON_FLOOR,None,2:57,2,Clippers,Grizzlies,40 - 53,1,N/A,N/A,N/A
98,Ivan Rabb,FT,None,2:57,2,Grizzlies,Clippers,41 - 53,0,N/A,1,N/A
99,Landry Shamet,FG_MISS,None,2:40,2,Clippers,Grizzlies,41 - 53,1,23,3,Jumper
100,Delon Wright,DEFENSIVE_REBOUND,None,2:37,2,Grizzlies,Clippers,41 - 53,0,N/A,N/A,N/A
101,Tyler Dorsey,FG_UNASSISTED,None,2:18,2,Grizzlies,Clippers,43 - 53,0,7,3,Jumper
102,Yuta Watanabe,FOUL_ON_FLOOR,None,2:10,2,Grizzlies,Clippers,43 - 53,0,N/A,N/A,N/A
103,Danilo Gallinari,FT,None,2:10,2,Clippers,Grizzlies,43 - 54,1,N/A,1,N/A
104,Montrezl Harrell,SUBSTITUTION,Gilgeous-Alexander Shai,2:10,2,Clippers,Grizzlies,43 - 54,1,N/A,N/A,N/A
105,Lou Williams,SUBSTITUTION,Zubac Ivica,2:10,2,Clippers,Grizzlies,43 - 54,1,N/A,N/A,N/A
106,Danilo Gallinari,FT,None,2:10,2,Clippers,Grizzlies,43 - 55,1,N/A,1,N/A
107,Tyler Dorsey,FG_UNASSISTED,None,1:56,2,Grizzlies,Clippers,45 - 55,0,20,3,Jumper
108,Yuta Watanabe,FOUL_ON_FLOOR,None,1:47,2,Grizzlies,Clippers,45 - 55,0,N/A,N/A,N/A
109,Danilo Gallinari,FT,None,1:47,2,Clippers,Grizzlies,45 - 56,1,N/A,1,N/A
110,Julian Washburn,SUBSTITUTION,Watanabe Yuta,1:47,2,Grizzlies,Clippers,45 - 56,0,N/A,N/A,N/A
111,Danilo Gallinari,FT,None,1:47,2,Clippers,Grizzlies,45 - 57,1,N/A,1,N/A
112,Ivan Rabb,FG_MISS,None,1:37,2,Grizzlies,Clippers,45 - 57,0,17,3,Jumper
