,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
18,Thomas Bryant,FG_UNASSISTED,None,9:23,3,Wizards,Nets,66 - 76,0,0,2,Dunk
19,Rondae Hollis-Jefferson,TURNOVER,John Wall,9:05,3,Nets,Wizards,66 - 76,1,N/A,N/A,N/A
20,Tomas Satoransky,TURNOVER,Rondae Hollis-Jefferson,9:00,3,Wizards,Nets,66 - 76,0,N/A,N/A,N/A
21,Tomas Satoransky,FOUL_ON_FLOOR,None,8:56,3,Wizards,Nets,66 - 76,0,N/A,N/A,N/A
22,Austin Rivers,SUBSTITUTION,Satoransky Tomas,8:56,3,Wizards,Nets,66 - 76,0,N/A,N/A,N/A
23,Bradley Beal,FOUL_ON_FLOOR,None,8:41,3,Wizards,Nets,66 - 76,0,N/A,N/A,N/A
24,Jarrett Allen,FT,None,8:41,3,Nets,Wizards,66 - 77,1,N/A,1,N/A
25,Jarrett Allen,FT,None,8:41,3,Nets,Wizards,66 - 78,1,N/A,1,N/A
26,Bradley Beal,FG_ASSISTED,John Wall,8:31,3,Wizards,Nets,68 - 78,0,0,2,Dunk
27,Jarrett Allen,FOUL_TECHNICAL,None,8:29,3,Nets,Wizards,68 - 78,1,N/A,N/A,N/A
28,Bradley Beal,FOUL_TECHNICAL,None,8:29,3,Wizards,Nets,68 - 78,0,N/A,N/A,N/A
29,Jarrett Allen,FG_MISS,None,8:19,3,Nets,Wizards,68 - 78,1, ,3,Jumper
30,Thomas Bryant,DEFENSIVE_REBOUND,None,8:17,3,Wizards,Nets,68 - 78,0,N/A,N/A,N/A
31,Thomas Bryant,FG_ASSISTED,John Wall,8:01,3,Wizards,Nets,71 - 78,0,25,3,Jumper
32,Jarrett Allen,FG_ASSISTED,Joe Harris,7:38,3,Nets,Wizards,71 - 80,1,0,2,Dunk
33,Jeff Green,FG_ASSISTED,Bradley Beal,7:21,3,Wizards,Nets,74 - 80,0,24,3,Jumper
34,Team,Unknown,None,7:20,3,Nets,Wizards,74 - 80,1,N/A,N/A,N/A
35,Joe Harris,FG_MISS,Thomas Bryant,7:06,3,Wizards,Nets,74 - 80,1,0,2,Layup
36,Team,OFFENSIVE_REBOUND,None,7:06,3,Nets,Wizards,74 - 80,1,N/A,N/A,N/A
37,Rodions Kurucs,FG_ASSISTED,D'Angelo Russell,7:00,3,Nets,Wizards,74 - 82,1,22,3,Jumper
38,John Wall,FG_MISS,None,6:45,3,Wizards,Nets,74 - 82,0, ,3,Jumper
39,Rodions Kurucs,DEFENSIVE_REBOUND,None,6:41,3,Nets,Wizards,74 - 82,1,N/A,N/A,N/A
40,D'Angelo Russell,TURNOVER,None,6:36,3,Nets,Wizards,74 - 82,1,N/A,N/A,N/A
41,Austin Rivers,FG_MISS,None,6:25,3,Wizards,Nets,74 - 82,0,25,3,Jumper
42,Joe Harris,DEFENSIVE_REBOUND,None,6:22,3,Nets,Wizards,74 - 82,1,N/A,N/A,N/A
43,Rodions Kurucs,FG_ASSISTED,Joe Harris,6:15,3,Nets,Wizards,74 - 85,1,23,3,Jumper
44,Team,Unknown,None,6:13,3,Wizards,Nets,74 - 85,0,N/A,N/A,N/A
45,Spencer Dinwiddie,SUBSTITUTION,Russell D'Angelo,6:13,3,Nets,Wizards,74 - 85,1,N/A,N/A,N/A
46,Jeff Green,FG_ASSISTED,John Wall,5:55,3,Wizards,Nets,77 - 85,0,26,3,Jumper
