,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
82,Landry Shamet,SUBSTITUTION,Redick JJ,4:28,4,76ers,Celtics,84 - 94,0,N/A,N/A,N/A
83,Joel Embiid,FT,None,4:28,4,76ers,Celtics,85 - 94,0,N/A,1,N/A
84,Jayson Tatum,FG_UNASSISTED,None,4:05,4,Celtics,76ers,85 - 96,1,20,3,Jumper
85,Joel Embiid,FG_MISS,Al Horford,3:41,4,Celtics,76ers,85 - 96,0,0,2,Layup
86,Marcus Smart,DEFENSIVE_REBOUND,None,3:38,4,Celtics,76ers,85 - 96,1,N/A,N/A,N/A
87,Marcus Smart,TURNOVER,None,3:38,4,Celtics,76ers,85 - 96,1,N/A,N/A,N/A
88,Ben Simmons,FG_MISS,None,3:19,4,76ers,Celtics,85 - 96,0,6,3,Jumper
89,Terry Rozier,DEFENSIVE_REBOUND,None,3:15,4,Celtics,76ers,85 - 96,1,N/A,N/A,N/A
90,T.J. McConnell,FOUL_ON_FLOOR,None,3:07,4,76ers,Celtics,85 - 96,0,N/A,N/A,N/A
91,JJ Redick,SUBSTITUTION,McConnell T.J.,3:07,4,76ers,Celtics,85 - 96,0,N/A,N/A,N/A
92,Robert Covington,SUBSTITUTION,Shamet Landry,3:07,4,76ers,Celtics,85 - 96,0,N/A,N/A,N/A
93,Terry Rozier,FG_UNASSISTED,None,2:59,4,Celtics,76ers,85 - 99,1,26,3,Jumper
94,Team,Unknown,None,2:57,4,76ers,Celtics,85 - 99,0,N/A,N/A,N/A
95,Dario Saric,FG_MISS,None,2:48,4,76ers,Celtics,85 - 99,0,27,3,Jumper
96,Marcus Smart,DEFENSIVE_REBOUND,None,2:47,4,Celtics,76ers,85 - 99,1,N/A,N/A,N/A
97,Ben Simmons,FOUL_ON_FLOOR,None,2:34,4,76ers,Celtics,85 - 99,0,N/A,N/A,N/A
98,Jayson Tatum,FT_MISS,None,2:34,4,Celtics,76ers,85 - 99,1,N/A,1,N/A
99,Team,OFFENSIVE_REBOUND,None,2:34,4,Celtics,76ers,85 - 99,1,N/A,N/A,N/A
100,Jayson Tatum,FT,None,2:34,4,Celtics,76ers,85 - 100,1,N/A,1,N/A
101,Joel Embiid,FG_UNASSISTED,None,2:21,4,76ers,Celtics,87 - 100,0,4,3,Jumper
102,Gordon Hayward,FG_MISS,None,1:54,4,Celtics,76ers,87 - 100,1,1,3,Jumper
103,Joel Embiid,DEFENSIVE_REBOUND,None,1:53,4,76ers,Celtics,87 - 100,0,N/A,N/A,N/A
104,Joel Embiid,FG_MISS,None,1:47,4,76ers,Celtics,87 - 100,0,27,3,Jumper
105,Terry Rozier,DEFENSIVE_REBOUND,None,1:46,4,Celtics,76ers,87 - 100,1,N/A,N/A,N/A
106,Gordon Hayward,FG_ASSISTED,Jayson Tatum,1:39,4,Celtics,76ers,87 - 103,1,24,3,Jumper
107,Gordon Hayward,FOUL_ON_FLOOR,None,1:27,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
108,Ben Simmons,FT_MISS,None,1:27,4,76ers,Celtics,87 - 103,0,N/A,1,N/A
109,Team,OFFENSIVE_REBOUND,None,1:27,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
110,Daniel Theis,SUBSTITUTION,Tatum Jayson,1:27,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
111,Semi Ojeleye,SUBSTITUTION,Hayward Gordon,1:27,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
112,Guerschon Yabusele,SUBSTITUTION,Horford Al,1:27,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
113,T.J. McConnell,SUBSTITUTION,Saric Dario,1:27,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
114,Amir Johnson,SUBSTITUTION,Embiid Joel,1:27,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
115,Jonah Bolden,SUBSTITUTION,Redick JJ,1:27,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
116,Furkan Korkmaz,SUBSTITUTION,Covington Robert,1:27,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
117,Ben Simmons,FT_MISS,None,1:27,4,76ers,Celtics,87 - 103,0,N/A,1,N/A
118,Daniel Theis,DEFENSIVE_REBOUND,None,1:27,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
119,Terry Rozier,FG_MISS,None,1:10,4,Celtics,76ers,87 - 103,1,20,3,Jumper
120,Ben Simmons,DEFENSIVE_REBOUND,None,1:06,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
121,Ben Simmons,FG_MISS,None,1:02,4,76ers,Celtics,87 - 103,0,16,3,Jumper
122,Terry Rozier,DEFENSIVE_REBOUND,None,59.8,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
123,Terry Rozier,TURNOVER,Ben Simmons,54.6,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
124,Brad Wanamaker,SUBSTITUTION,Smart Marcus,49.9,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
125,Landry Shamet,SUBSTITUTION,Simmons Ben,49.9,4,76ers,Celtics,87 - 103,0,N/A,N/A,N/A
126,Landry Shamet,FG_MISS,None,48.2,4,76ers,Celtics,87 - 103,0,25,3,Jumper
127,Semi Ojeleye,DEFENSIVE_REBOUND,None,46.0,4,Celtics,76ers,87 - 103,1,N/A,N/A,N/A
128,Brad Wanamaker,FG_UNASSISTED,None,38.4,4,Celtics,76ers,87 - 105,1,0,2,Layup
129,T.J. McConnell,FG_MISS,None,22.5,4,76ers,Celtics,87 - 105,0,7,3,Jumper
130,Brad Wanamaker,DEFENSIVE_REBOUND,None,19.4,4,Celtics,76ers,87 - 105,1,N/A,N/A,N/A
131,End of,Unknown,None,0.0,4,Celtics,76ers,87 - 105,1,N/A,N/A,N/A
132,End of,Unknown,None,0.0,4,Celtics,76ers,87 - 105,1,N/A,N/A,N/A
