,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
88,JaVale McGee,FG_ASSISTED,Brandon Ingram,56.8,2,Lakers,Pistons,42 - 53,1,0,2,Dunk
89,Blake Griffin,TURNOVER,Lonzo Ball,45.1,2,Pistons,Lakers,42 - 53,0,N/A,N/A,N/A
90,Kyle Kuzma,FG_UNASSISTED,None,42.2,2,Lakers,Pistons,42 - 55,1, ,3,Jumper
91,Blake Griffin,FG_ASSISTED,Stanley Johnson,36.4,2,Pistons,Lakers,45 - 55,0,27,3,Jumper
92,Kyle Kuzma,TURNOVER,Andre Drummond,29.4,2,Lakers,Pistons,45 - 55,1,N/A,N/A,N/A
93,Stanley Johnson,FG_MISS,None,20.9,2,Pistons,Lakers,45 - 55,0,25,3,Jumper
94,Andre Drummond,OFFENSIVE_REBOUND,None,19.4,2,Pistons,Lakers,45 - 55,0,N/A,N/A,N/A
95,Andre Drummond,FG_UNASSISTED,None,19.4,2,Pistons,Lakers,47 - 55,0,0,2,Dunk
96,Brandon Ingram,TURNOVER,Stanley Johnson,0.2,2,Lakers,Pistons,47 - 55,1,N/A,N/A,N/A
97,End of,Unknown,None,0.0,2,Lakers,Pistons,47 - 55,1,N/A,N/A,N/A
0,Bruce Brown,SUBSTITUTION,Johnson Stanley,12:00,3,Pistons,Lakers,47 - 55,0,N/A,N/A,N/A
1,Reggie Jackson,FG_ASSISTED,Andre Drummond,11:46,3,Pistons,Lakers,50 - 55,0,25,3,Jumper
2,JaVale McGee,FG_ASSISTED,Brandon Ingram,11:23,3,Lakers,Pistons,50 - 57,1,0,2,Dunk
3,Blake Griffin,FG_MISS,None,11:04,3,Pistons,Lakers,50 - 57,0,26,3,Jumper
4,Andre Drummond,OFFENSIVE_REBOUND,None,10:59,3,Pistons,Lakers,50 - 57,0,N/A,N/A,N/A
5,Andre Drummond,FG_MISS,JaVale McGee,10:58,3,Lakers,Pistons,50 - 57,0,0,2,Layup
6,Josh Hart,DEFENSIVE_REBOUND,None,10:56,3,Lakers,Pistons,50 - 57,1,N/A,N/A,N/A
7,Kyle Kuzma,FG_ASSISTED,JaVale McGee,10:56,3,Lakers,Pistons,50 - 59,1,0,2,Layup
8,Reggie Jackson,FOUL_ON_FLOOR,None,10:56,3,Pistons,Lakers,50 - 59,0,N/A,N/A,N/A
9,Kyle Kuzma,FT,None,10:56,3,Lakers,Pistons,50 - 60,1,N/A,1,N/A
10,Reggie Jackson,FG_ASSISTED,Blake Griffin,10:48,3,Pistons,Lakers,52 - 60,0, ,3,Jumper
11,JaVale McGee,FG_ASSISTED,Lonzo Ball,10:32,3,Lakers,Pistons,52 - 62,1,0,2,Dunk
12,JaVale McGee,FOUL_TECHNICAL,None,10:21,3,Lakers,Pistons,52 - 62,1,N/A,N/A,N/A
13,Reggie Jackson,FT,None,10:21,3,Pistons,Lakers,53 - 62,0,N/A,1,N/A
14,Reggie Bullock,FG_UNASSISTED,None,10:08,3,Pistons,Lakers,55 - 62,0,0,2,Layup
15,Kyle Kuzma,FG_ASSISTED,Lonzo Ball,9:54,3,Lakers,Pistons,55 - 65,1,29,3,Jumper
16,Andre Drummond's,FG_MISS,JaVale McGee,9:31,3,Lakers,Pistons,55 - 65,0,0,2,Dunk
17,Brandon Ingram,DEFENSIVE_REBOUND,None,9:28,3,Lakers,Pistons,55 - 65,1,N/A,N/A,N/A
18,Kyle Kuzma,TURNOVER,None,9:25,3,Lakers,Pistons,55 - 65,1,N/A,N/A,N/A
19,Reggie Bullock,FG_MISS,None,9:01,3,Pistons,Lakers,55 - 65,0,14,3,Jumper
20,Brandon Ingram,DEFENSIVE_REBOUND,None,8:59,3,Lakers,Pistons,55 - 65,1,N/A,N/A,N/A
21,Blake Griffin,FOUL_ON_FLOOR,None,8:54,3,Pistons,Lakers,55 - 65,0,N/A,N/A,N/A
22,Kyle Kuzma,FT_MISS,None,8:54,3,Lakers,Pistons,55 - 65,1,N/A,1,N/A
23,Team,OFFENSIVE_REBOUND,None,8:54,3,Lakers,Pistons,55 - 65,1,N/A,N/A,N/A
24,Kyle Kuzma,FT,None,8:54,3,Lakers,Pistons,55 - 66,1,N/A,1,N/A
25,Blake Griffin,FG_MISS,None,8:47,3,Pistons,Lakers,55 - 66,0,25,3,Jumper
26,Josh Hart,DEFENSIVE_REBOUND,None,8:45,3,Lakers,Pistons,55 - 66,1,N/A,N/A,N/A
27,Kyle Kuzma,FG_ASSISTED,Lonzo Ball,8:31,3,Lakers,Pistons,55 - 69,1,26,3,Jumper
28,Team,Unknown,None,8:31,3,Pistons,Lakers,55 - 69,0,N/A,N/A,N/A
29,Reggie Bullock,FG_MISS,None,8:04,3,Pistons,Lakers,55 - 69,0,28,3,Jumper
30,Josh Hart,DEFENSIVE_REBOUND,None,8:02,3,Lakers,Pistons,55 - 69,1,N/A,N/A,N/A
31,Kyle Kuzma,FG_MISS,None,7:48,3,Lakers,Pistons,55 - 69,1,11,3,Jumper
32,JaVale McGee,OFFENSIVE_REBOUND,None,7:46,3,Lakers,Pistons,55 - 69,1,N/A,N/A,N/A
33,JaVale McGee,FG_MISS,None,7:45,3,Lakers,Pistons,55 - 69,1, ,3,Jumper
34,Andre Drummond,DEFENSIVE_REBOUND,None,7:43,3,Pistons,Lakers,55 - 69,0,N/A,N/A,N/A
35,Bruce Brown,FG_UNASSISTED,None,7:25,3,Pistons,Lakers,57 - 69,0,0,2,Layup
36,Brandon Ingram,FG_MISS,None,7:08,3,Lakers,Pistons,57 - 69,1,0,2,Layup
37,Reggie Bullock,DEFENSIVE_REBOUND,None,7:06,3,Pistons,Lakers,57 - 69,0,N/A,N/A,N/A
38,JaVale McGee,FOUL_ON_FLOOR,None,7:02,3,Lakers,Pistons,57 - 69,1,N/A,N/A,N/A
39,Andre Drummond,FT_MISS,None,7:02,3,Pistons,Lakers,57 - 69,0,N/A,1,N/A
40,Team,OFFENSIVE_REBOUND,None,7:02,3,Pistons,Lakers,57 - 69,0,N/A,N/A,N/A
41,Andre Drummond,FT_MISS,None,7:02,3,Pistons,Lakers,57 - 69,0,N/A,1,N/A
42,JaVale McGee,DEFENSIVE_REBOUND,None,6:59,3,Lakers,Pistons,57 - 69,1,N/A,N/A,N/A
43,Kyle Kuzma,FG_UNASSISTED,None,6:39,3,Lakers,Pistons,57 - 72,1,28,3,Jumper
44,Reggie Bullock,FG_ASSISTED,Bruce Brown,6:19,3,Pistons,Lakers,60 - 72,0,27,3,Jumper
45,Josh Hart,FOUL_ON_FLOOR,None,6:19,3,Lakers,Pistons,60 - 72,1,N/A,N/A,N/A
46,Reggie Bullock,FT,None,6:19,3,Pistons,Lakers,61 - 72,0,N/A,1,N/A
47,Kyle Kuzma,FG_MISS,None,5:55,3,Lakers,Pistons,61 - 72,1,26,3,Jumper
48,Andre Drummond,DEFENSIVE_REBOUND,None,5:53,3,Pistons,Lakers,61 - 72,0,N/A,N/A,N/A
49,Blake Griffin,FG_UNASSISTED,None,5:47,3,Pistons,Lakers,64 - 72,0,26,3,Jumper
