,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
20,Dario Saric,FG_ASSISTED,Gorgui Dieng,10:11,2,Timberwolves,Bulls,22 - 28,1,0,2,Dunk
21,Team,Unknown,None,10:11,2,Bulls,Timberwolves,22 - 28,0,N/A,N/A,N/A
22,Justin Holiday,SUBSTITUTION,Blakeney Antonio,10:11,2,Bulls,Timberwolves,22 - 28,0,N/A,N/A,N/A
23,Jabari Parker,FG_ASSISTED,Shaquille Harrison,10:01,2,Bulls,Timberwolves,24 - 28,0,0,2,Layup
24,Robert Covington,FG_MISS,None,9:46,2,Timberwolves,Bulls,24 - 28,1,0,2,Layup
25,Justin Holiday,DEFENSIVE_REBOUND,None,9:44,2,Bulls,Timberwolves,24 - 28,0,N/A,N/A,N/A
26,Robin Lopez,TURNOVER,Robert Covington,9:36,2,Bulls,Timberwolves,24 - 28,0,N/A,N/A,N/A
27,Robert Covington,FG_MISS,None,9:28,2,Timberwolves,Bulls,24 - 28,1,24,3,Jumper
28,Justin Holiday,DEFENSIVE_REBOUND,None,9:25,2,Bulls,Timberwolves,24 - 28,0,N/A,N/A,N/A
29,Jabari Parker,FG_ASSISTED,Justin Holiday,9:18,2,Bulls,Timberwolves,26 - 28,0,12,3,Jumper
30,Derrick Rose,FG_UNASSISTED,None,9:03,2,Timberwolves,Bulls,26 - 30,1,0,2,Layup
31,Robin Lopez,FOUL_ON_FLOOR,None,9:03,2,Bulls,Timberwolves,26 - 30,0,N/A,N/A,N/A
32,Derrick Rose,FT,None,9:03,2,Timberwolves,Bulls,26 - 31,1,N/A,1,N/A
33,Robin Lopez,FG_ASSISTED,Shaquille Harrison,8:47,2,Bulls,Timberwolves,29 - 31,0,25,3,Jumper
34,Tyus Jones,FG_MISS,None,8:26,2,Timberwolves,Bulls,29 - 31,1,22,3,Jumper
35,Justin Holiday,DEFENSIVE_REBOUND,None,8:24,2,Bulls,Timberwolves,29 - 31,0,N/A,N/A,N/A
36,Shaquille Harrison,FG_MISS,Robert Covington,8:17,2,Timberwolves,Bulls,29 - 31,0,5,3,Jumper
37,Tyus Jones,DEFENSIVE_REBOUND,None,8:14,2,Timberwolves,Bulls,29 - 31,1,N/A,N/A,N/A
38,Derrick Rose's,FG_MISS,Justin Holiday,8:12,2,Bulls,Timberwolves,29 - 31,1,0,2,Layup
39,Dario Saric,OFFENSIVE_REBOUND,None,8:12,2,Timberwolves,Bulls,29 - 31,1,N/A,N/A,N/A
40,Dario Saric,FG_UNASSISTED,None,8:10,2,Timberwolves,Bulls,29 - 33,1, ,3,Jumper
41,Justin Holiday,FG_ASSISTED,Cameron Payne,8:01,2,Bulls,Timberwolves,32 - 33,0,22,3,Jumper
42,Dario Saric,TURNOVER,Robin Lopez,7:46,2,Timberwolves,Bulls,32 - 33,1,N/A,N/A,N/A
43,Robert Covington,FOUL_ON_FLOOR,None,7:43,2,Timberwolves,Bulls,32 - 33,1,N/A,N/A,N/A
44,Jabari Parker,FT_MISS,None,7:43,2,Bulls,Timberwolves,32 - 33,0,N/A,1,N/A
45,Team,OFFENSIVE_REBOUND,None,7:43,2,Bulls,Timberwolves,32 - 33,0,N/A,N/A,N/A
46,Jeff Teague,SUBSTITUTION,Jones Tyus,7:43,2,Timberwolves,Bulls,32 - 33,1,N/A,N/A,N/A
47,Karl-Anthony Towns,SUBSTITUTION,Dieng Gorgui,7:43,2,Timberwolves,Bulls,32 - 33,1,N/A,N/A,N/A
48,Taj Gibson,SUBSTITUTION,Saric Dario,7:43,2,Timberwolves,Bulls,32 - 33,1,N/A,N/A,N/A
49,Wendell Carter,SUBSTITUTION,Lopez Robin,7:43,2,Bulls,Timberwolves,32 - 33,0,N/A,N/A,N/A
50,Jabari Parker,FT,None,7:43,2,Bulls,Timberwolves,33 - 33,0,N/A,1,N/A
51,Karl-Anthony Towns,FG_UNASSISTED,None,7:31,2,Timberwolves,Bulls,33 - 35,1,0,2,Dunk
52,Jabari Parker,FG_MISS,None,7:15,2,Bulls,Timberwolves,33 - 35,0, ,3,Jumper
53,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,7:15,2,Timberwolves,Bulls,33 - 35,1,N/A,N/A,N/A
54,Taj Gibson,TURNOVER,None,7:08,2,Timberwolves,Bulls,33 - 35,1,N/A,N/A,N/A
55,Justin Holiday,FG_MISS,None,6:49,2,Bulls,Timberwolves,33 - 35,0,0,2,Layup
56,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,6:46,2,Timberwolves,Bulls,33 - 35,1,N/A,N/A,N/A
57,Karl-Anthony Towns,FG_MISS,None,6:41,2,Timberwolves,Bulls,33 - 35,1,0,2,Layup
58,Karl-Anthony Towns,OFFENSIVE_REBOUND,None,6:39,2,Timberwolves,Bulls,33 - 35,1,N/A,N/A,N/A
59,Karl-Anthony Towns,FG_UNASSISTED,None,6:37,2,Timberwolves,Bulls,33 - 37,1, ,3,Jumper
60,Wendell Carter,FG_MISS,None,6:26,2,Bulls,Timberwolves,33 - 37,0,25,3,Jumper
61,Team,DEFENSIVE_REBOUND,None,6:23,2,Timberwolves,Bulls,33 - 37,1,N/A,N/A,N/A
62,Ryan Arcidiacono,SUBSTITUTION,Harrison Shaquille,6:23,2,Bulls,Timberwolves,33 - 37,0,N/A,N/A,N/A
63,Zach LaVine,SUBSTITUTION,Payne Cameron,6:23,2,Bulls,Timberwolves,33 - 37,0,N/A,N/A,N/A
64,Karl-Anthony Towns,FG_ASSISTED,Derrick Rose,6:14,2,Timberwolves,Bulls,33 - 39,1,17,3,Jumper
65,Zach LaVine,FG_MISS,None,6:04,2,Bulls,Timberwolves,33 - 39,0,0,2,Layup
66,Wendell Carter,OFFENSIVE_REBOUND,None,6:04,2,Bulls,Timberwolves,33 - 39,0,N/A,N/A,N/A
67,Wendell Carter,FG_UNASSISTED,None,6:04,2,Bulls,Timberwolves,35 - 39,0, ,3,Jumper
68,Derrick Rose,FOUL_ON_FLOOR,None,6:04,2,Timberwolves,Bulls,35 - 39,1,N/A,N/A,N/A
69,Wendell Carter,FT,None,6:04,2,Bulls,Timberwolves,36 - 39,0,N/A,1,N/A
70,Robert Covington,FG_MISS,None,5:55,2,Timberwolves,Bulls,36 - 39,1,22,3,Jumper
71,Zach LaVine,DEFENSIVE_REBOUND,None,5:53,2,Bulls,Timberwolves,36 - 39,0,N/A,N/A,N/A
72,Justin Holiday,FG_MISS,None,5:41,2,Bulls,Timberwolves,36 - 39,0,23,3,Jumper
73,Taj Gibson,DEFENSIVE_REBOUND,None,5:38,2,Timberwolves,Bulls,36 - 39,1,N/A,N/A,N/A
74,Derrick Rose,FG_UNASSISTED,None,5:33,2,Timberwolves,Bulls,36 - 41,1,22,3,Jumper
75,Wendell Carter,TURNOVER,Taj Gibson,5:18,2,Bulls,Timberwolves,36 - 41,0,N/A,N/A,N/A
76,Robert Covington,FG_MISS,None,5:11,2,Timberwolves,Bulls,36 - 41,1,23,3,Jumper
77,Karl-Anthony Towns,OFFENSIVE_REBOUND,None,5:07,2,Timberwolves,Bulls,36 - 41,1,N/A,N/A,N/A
78,Karl-Anthony Towns,FG_MISS,None,4:55,2,Timberwolves,Bulls,36 - 41,1,13,3,Jumper
79,Wendell Carter,DEFENSIVE_REBOUND,None,4:52,2,Bulls,Timberwolves,36 - 41,0,N/A,N/A,N/A
80,Ryan Arcidiacono,TURNOVER,Robert Covington,4:50,2,Bulls,Timberwolves,36 - 41,0,N/A,N/A,N/A
81,Robert Covington,FG_MISS,None,4:40,2,Timberwolves,Bulls,36 - 41,1,26,3,Jumper
82,Justin Holiday,DEFENSIVE_REBOUND,None,4:35,2,Bulls,Timberwolves,36 - 41,0,N/A,N/A,N/A
83,Zach LaVine,FG_ASSISTED,Jabari Parker,4:32,2,Bulls,Timberwolves,38 - 41,0,0,2,Dunk
84,Team,Unknown,None,4:31,2,Timberwolves,Bulls,38 - 41,1,N/A,N/A,N/A
85,Andrew Wiggins,SUBSTITUTION,Rose Derrick,4:31,2,Timberwolves,Bulls,38 - 41,1,N/A,N/A,N/A
86,Jeff Teague,FG_ASSISTED,Karl-Anthony Towns,4:16,2,Timberwolves,Bulls,38 - 44,1,25,3,Jumper
87,Jabari Parker,FG_ASSISTED,Ryan Arcidiacono,4:01,2,Bulls,Timberwolves,40 - 44,0,11,3,Jumper
88,Jeff Teague,FG_UNASSISTED,None,3:49,2,Timberwolves,Bulls,40 - 46,1,9,3,Jumper
89,Justin Holiday,FG_MISS,None,3:28,2,Bulls,Timberwolves,40 - 46,0,23,3,Jumper
90,Jeff Teague,DEFENSIVE_REBOUND,None,3:26,2,Timberwolves,Bulls,40 - 46,1,N/A,N/A,N/A
91,Jeff Teague,TURNOVER,Justin Holiday,3:13,2,Timberwolves,Bulls,40 - 46,1,N/A,N/A,N/A
92,Zach LaVine,FG_ASSISTED,Justin Holiday,3:08,2,Bulls,Timberwolves,42 - 46,0,0,2,Dunk
93,Jeff Teague,FG_MISS,None,3:06,2,Timberwolves,Bulls,42 - 46,1,25,3,Jumper
94,Justin Holiday,DEFENSIVE_REBOUND,None,2:55,2,Bulls,Timberwolves,42 - 46,0,N/A,N/A,N/A
