,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
43,Thaddeus Young,OFFENSIVE_REBOUND,None,6:03,1,Pacers,Mavericks,13 - 10,1,N/A,N/A,N/A
44,Thaddeus Young,FG_UNASSISTED,None,6:03,1,Pacers,Mavericks,13 - 12,1, ,3,Jumper
45,Harrison Barnes,FG_ASSISTED,Jalen Brunson,5:41,1,Mavericks,Pacers,16 - 12,0,28,3,Jumper
46,Bojan Bogdanovic,FG_MISS,None,5:23,1,Pacers,Mavericks,16 - 12,1,4,3,Jumper
47,Jalen Brunson,DEFENSIVE_REBOUND,None,5:19,1,Mavericks,Pacers,16 - 12,0,N/A,N/A,N/A
48,Maximilian Kleber,FG_ASSISTED,Harrison Barnes,5:05,1,Mavericks,Pacers,19 - 12,0,29,3,Jumper
49,Thaddeus Young,FG_MISS,None,4:49,1,Pacers,Mavericks,19 - 12,1,0,2,Layup
50,Wesley Matthews,DEFENSIVE_REBOUND,None,4:47,1,Mavericks,Pacers,19 - 12,0,N/A,N/A,N/A
51,Wesley Matthews,TURNOVER,Darren Collison,4:41,1,Mavericks,Pacers,19 - 12,0,N/A,N/A,N/A
52,Myles Turner,FG_MISS,None,4:25,1,Pacers,Mavericks,19 - 12,1,8,3,Jumper
53,Victor Oladipo,OFFENSIVE_REBOUND,None,4:21,1,Pacers,Mavericks,19 - 12,1,N/A,N/A,N/A
54,Myles Turner,FG_ASSISTED,Victor Oladipo,4:21,1,Pacers,Mavericks,19 - 14,1,0,2,Layup
55,Maximilian Kleber,FOUL_ON_FLOOR,None,4:21,1,Mavericks,Pacers,19 - 14,0,N/A,N/A,N/A
56,Team,Unknown,None,4:21,1,Mavericks,Pacers,19 - 14,0,N/A,N/A,N/A
57,Domantas Sabonis,SUBSTITUTION,Young Thaddeus,4:21,1,Pacers,Mavericks,19 - 14,1,N/A,N/A,N/A
58,Dorian Finney-Smith,SUBSTITUTION,Kleber Maximilian,4:21,1,Mavericks,Pacers,19 - 14,0,N/A,N/A,N/A
59,Myles Turner,FT,None,4:21,1,Pacers,Mavericks,19 - 15,1,N/A,1,N/A
60,Jalen Brunson,FG_MISS,None,4:07,1,Mavericks,Pacers,19 - 15,0,20,3,Jumper
61,Domantas Sabonis,DEFENSIVE_REBOUND,None,4:04,1,Pacers,Mavericks,19 - 15,1,N/A,N/A,N/A
62,Domantas Sabonis,FG_UNASSISTED,None,3:44,1,Pacers,Mavericks,19 - 17,1,8,3,Jumper
63,Wesley Matthews,FG_UNASSISTED,None,3:28,1,Mavericks,Pacers,21 - 17,0,13,3,Jumper
64,Bojan Bogdanovic,FG_MISS,None,3:11,1,Pacers,Mavericks,21 - 17,1,26,3,Jumper
65,Wesley Matthews,DEFENSIVE_REBOUND,None,3:07,1,Mavericks,Pacers,21 - 17,0,N/A,N/A,N/A
66,Dorian Finney-Smith,FG_MISS,None,3:01,1,Mavericks,Pacers,21 - 17,0,25,3,Jumper
67,Bojan Bogdanovic,DEFENSIVE_REBOUND,None,2:58,1,Pacers,Mavericks,21 - 17,1,N/A,N/A,N/A
68,Domantas Sabonis,FG_MISS,None,2:46,1,Pacers,Mavericks,21 - 17,1,0,2,Layup
69,Domantas Sabonis,OFFENSIVE_REBOUND,None,2:44,1,Pacers,Mavericks,21 - 17,1,N/A,N/A,N/A
70,Myles Turner,FG_MISS,None,2:40,1,Pacers,Mavericks,21 - 17,1,27,3,Jumper
71,Harrison Barnes,DEFENSIVE_REBOUND,None,2:37,1,Mavericks,Pacers,21 - 17,0,N/A,N/A,N/A
72,Jalen Brunson,TURNOVER,Darren Collison,2:30,1,Mavericks,Pacers,21 - 17,0,N/A,N/A,N/A
73,Victor Oladipo,FG_ASSISTED,Darren Collison,2:25,1,Pacers,Mavericks,21 - 19,1,0,2,Dunk
74,Harrison Barnes,FG_MISS,None,2:08,1,Mavericks,Pacers,21 - 19,0,25,3,Jumper
75,Domantas Sabonis,DEFENSIVE_REBOUND,None,2:04,1,Pacers,Mavericks,21 - 19,1,N/A,N/A,N/A
76,Darren Collison,FG_UNASSISTED,None,1:57,1,Pacers,Mavericks,21 - 21,1,18,3,Jumper
77,Wesley Matthews,FG_UNASSISTED,None,1:36,1,Mavericks,Pacers,23 - 21,0, ,3,Jumper
78,Jalen Brunson,FOUL_ON_FLOOR,None,1:18,1,Mavericks,Pacers,23 - 21,0,N/A,N/A,N/A
79,Darren Collison,FT,None,1:18,1,Pacers,Mavericks,23 - 22,1,N/A,1,N/A
80,Tyreke Evans,SUBSTITUTION,Oladipo Victor,1:18,1,Pacers,Mavericks,23 - 22,1,N/A,N/A,N/A
81,Doug McDermott,SUBSTITUTION,Bogdanovic Bojan,1:18,1,Pacers,Mavericks,23 - 22,1,N/A,N/A,N/A
82,Dirk Nowitzki,SUBSTITUTION,Jordan DeAndre,1:18,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
83,Dwight Powell,SUBSTITUTION,Matthews Wesley,1:18,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
84,Luka Doncic,SUBSTITUTION,Barnes Harrison,1:18,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
85,Darren Collison,FT_MISS,None,1:18,1,Pacers,Mavericks,23 - 22,1,N/A,1,N/A
86,Dwight Powell,DEFENSIVE_REBOUND,None,1:17,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
87,Dirk Nowitzki,FG_MISS,None,1:06,1,Mavericks,Pacers,23 - 22,0,26,3,Jumper
88,Domantas Sabonis,DEFENSIVE_REBOUND,None,1:03,1,Pacers,Mavericks,23 - 22,1,N/A,N/A,N/A
89,Doug McDermott,FG_MISS,None,49.0,1,Pacers,Mavericks,23 - 22,1,25,3,Jumper
90,Dirk Nowitzki,DEFENSIVE_REBOUND,None,45.1,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
91,Dwight Powell,TURNOVER,None,38.4,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
92,Dwight Powell,TURNOVER,None,38.4,1,Mavericks,Pacers,23 - 22,0,N/A,N/A,N/A
93,Cory Joseph,SUBSTITUTION,Collison Darren,38.4,1,Pacers,Mavericks,23 - 22,1,N/A,N/A,N/A
94,Tyreke Evans,FG_UNASSISTED,None,31.3,1,Pacers,Mavericks,23 - 24,1,1,3,Jumper
95,Luka Doncic,FG_MISS,None,22.9,1,Mavericks,Pacers,23 - 24,0,28,3,Jumper
96,Myles Turner,DEFENSIVE_REBOUND,None,20.2,1,Pacers,Mavericks,23 - 24,1,N/A,N/A,N/A
97,Myles Turner,TURNOVER,None,20.2,1,Pacers,Mavericks,23 - 24,1,N/A,N/A,N/A
98,Luka Doncic,FG_MISS,None,0.0,1,Mavericks,Pacers,23 - 24,0,16,3,Jumper
99,Team,OFFENSIVE_REBOUND,None,0.0,1,Mavericks,Pacers,23 - 24,0,N/A,N/A,N/A
100,End of,Unknown,None,0.0,1,Pacers,Mavericks,23 - 24,1,N/A,N/A,N/A
0,Thaddeus Young,SUBSTITUTION,Turner Myles,12:00,2,Pacers,Mavericks,23 - 24,1,N/A,N/A,N/A
1,Devin Harris,SUBSTITUTION,Brunson Jalen,12:00,2,Mavericks,Pacers,23 - 24,0,N/A,N/A,N/A
2,Thaddeus Young,FG_ASSISTED,Tyreke Evans,11:45,2,Pacers,Mavericks,23 - 26,1,7,3,Jumper
3,Devin Harris,FOUL_ON_FLOOR,None,11:24,2,Mavericks,Pacers,23 - 26,0,N/A,N/A,N/A
4,Devin Harris,TURNOVER,None,11:24,2,Mavericks,Pacers,23 - 26,0,N/A,N/A,N/A
5,Domantas Sabonis,TURNOVER,Luka Doncic,11:12,2,Pacers,Mavericks,23 - 26,1,N/A,N/A,N/A
6,Luka Doncic,FG_UNASSISTED,None,11:08,2,Mavericks,Pacers,25 - 26,0, ,3,Jumper
7,Tyreke Evans,FG_ASSISTED,Thaddeus Young,10:50,2,Pacers,Mavericks,25 - 29,1,27,3,Jumper
8,Dwight Powell,FG_ASSISTED,Luka Doncic,10:30,2,Mavericks,Pacers,27 - 29,0,0,2,Layup
9,Thaddeus Young,FOUL_ON_FLOOR,None,10:30,2,Pacers,Mavericks,27 - 29,1,N/A,N/A,N/A
10,Dwight Powell,FT,None,10:30,2,Mavericks,Pacers,28 - 29,0,N/A,1,N/A
11,Luka Doncic,Unknown,None,10:17,2,Mavericks,Pacers,28 - 29,0,N/A,N/A,N/A
12,Cory Joseph,FG_UNASSISTED,None,10:12,2,Pacers,Mavericks,28 - 31,1,17,3,Jumper
13,Luka Doncic,TURNOVER,None,9:49,2,Mavericks,Pacers,28 - 31,0,N/A,N/A,N/A
14,Doug McDermott,TURNOVER,None,9:37,2,Pacers,Mavericks,28 - 31,1,N/A,N/A,N/A
15,Dwight Powell,FG_ASSISTED,Devin Harris,9:20,2,Mavericks,Pacers,30 - 31,0,0,2,Layup
16,Cory Joseph,FG_MISS,None,9:05,2,Pacers,Mavericks,30 - 31,1,15,3,Jumper
17,Cory Joseph,OFFENSIVE_REBOUND,None,9:03,2,Pacers,Mavericks,30 - 31,1,N/A,N/A,N/A
18,Domantas Sabonis,FG_ASSISTED,Cory Joseph,8:50,2,Pacers,Mavericks,30 - 34,1,24,3,Jumper
19,Luka Doncic,FG_MISS,None,8:24,2,Mavericks,Pacers,30 - 34,0, ,3,Jumper
20,Domantas Sabonis,DEFENSIVE_REBOUND,None,8:21,2,Pacers,Mavericks,30 - 34,1,N/A,N/A,N/A
21,Devin Harris,FOUL_ON_FLOOR,None,8:13,2,Mavericks,Pacers,30 - 34,0,N/A,N/A,N/A
22,Cory Joseph,FG_MISS,None,8:08,2,Pacers,Mavericks,30 - 34,1,28,3,Jumper
23,Dorian Finney-Smith,DEFENSIVE_REBOUND,None,8:05,2,Mavericks,Pacers,30 - 34,0,N/A,N/A,N/A
24,Luka Doncic,FG_MISS,None,7:56,2,Mavericks,Pacers,30 - 34,0,0,2,Layup
25,Dorian Finney-Smith,OFFENSIVE_REBOUND,None,7:51,2,Mavericks,Pacers,30 - 34,0,N/A,N/A,N/A
26,Dorian Finney-Smith,FG_MISS,None,7:51,2,Mavericks,Pacers,30 - 34,0,0,2,Dunk
27,Domantas Sabonis,DEFENSIVE_REBOUND,None,7:50,2,Pacers,Mavericks,30 - 34,1,N/A,N/A,N/A
28,Doug McDermott,TURNOVER,None,7:44,2,Pacers,Mavericks,30 - 34,1,N/A,N/A,N/A
29,Doug McDermott,TURNOVER,None,7:44,2,Pacers,Mavericks,30 - 34,1,N/A,N/A,N/A
30,Dirk Nowitzki,FG_MISS,None,7:30,2,Mavericks,Pacers,30 - 34,0,23,3,Jumper
31,Dorian Finney-Smith,OFFENSIVE_REBOUND,None,7:27,2,Mavericks,Pacers,30 - 34,0,N/A,N/A,N/A
32,Dorian Finney-Smith,FG_MISS,None,7:26,2,Mavericks,Pacers,30 - 34,0,0,2,Layup
33,Thaddeus Young,DEFENSIVE_REBOUND,None,7:23,2,Pacers,Mavericks,30 - 34,1,N/A,N/A,N/A
34,Tyreke Evans,FG_ASSISTED,Thaddeus Young,7:19,2,Pacers,Mavericks,30 - 36,1,0,2,Layup
35,Team,Unknown,None,7:18,2,Mavericks,Pacers,30 - 36,0,N/A,N/A,N/A
36,Bojan Bogdanovic,SUBSTITUTION,Young Thaddeus,7:18,2,Pacers,Mavericks,30 - 36,1,N/A,N/A,N/A
37,Jalen Brunson,SUBSTITUTION,Doncic Luka,7:18,2,Mavericks,Pacers,30 - 36,0,N/A,N/A,N/A
38,Devin Harris,FG_MISS,None,7:05,2,Mavericks,Pacers,30 - 36,0,8,3,Jumper
39,Dwight Powell,OFFENSIVE_REBOUND,None,7:02,2,Mavericks,Pacers,30 - 36,0,N/A,N/A,N/A
40,Dwight Powell,FG_MISS,None,7:01,2,Mavericks,Pacers,30 - 36,0, ,3,Jumper
41,Bojan Bogdanovic,DEFENSIVE_REBOUND,None,6:59,2,Pacers,Mavericks,30 - 36,1,N/A,N/A,N/A
42,Domantas Sabonis,FG_ASSISTED,Cory Joseph,6:48,2,Pacers,Mavericks,30 - 38,1,0,2,Layup
43,Dwight Powell,FG_ASSISTED,Jalen Brunson,6:31,2,Mavericks,Pacers,32 - 38,0,0,2,Dunk
44,Doug McDermott,FOUL_ON_FLOOR,None,6:31,2,Pacers,Mavericks,32 - 38,1,N/A,N/A,N/A
45,Harrison Barnes,SUBSTITUTION,Nowitzki Dirk,6:31,2,Mavericks,Pacers,32 - 38,0,N/A,N/A,N/A
46,Dwight Powell,FT,None,6:31,2,Mavericks,Pacers,33 - 38,0,N/A,1,N/A
47,Tyreke Evans,FG_MISS,None,6:19,2,Pacers,Mavericks,33 - 38,1,0,2,Layup
48,Dwight Powell,DEFENSIVE_REBOUND,None,6:16,2,Mavericks,Pacers,33 - 38,0,N/A,N/A,N/A
49,Devin Harris,FG_MISS,None,6:12,2,Mavericks,Pacers,33 - 38,0,0,2,Layup
50,Team,DEFENSIVE_REBOUND,None,6:11,2,Pacers,Mavericks,33 - 38,1,N/A,N/A,N/A
51,DeAndre Jordan,SUBSTITUTION,Powell Dwight,6:11,2,Mavericks,Pacers,33 - 38,0,N/A,N/A,N/A
52,Bojan Bogdanovic,FG_ASSISTED,Cory Joseph,5:58,2,Pacers,Mavericks,33 - 40,1,13,3,Jumper
53,Domantas Sabonis,FOUL_ON_FLOOR,None,5:39,2,Pacers,Mavericks,33 - 40,1,N/A,N/A,N/A
54,DeAndre Jordan,FT_MISS,None,5:39,2,Mavericks,Pacers,33 - 40,0,N/A,1,N/A
55,Team,OFFENSIVE_REBOUND,None,5:39,2,Mavericks,Pacers,33 - 40,0,N/A,N/A,N/A
56,Victor Oladipo,SUBSTITUTION,McDermott Doug,5:39,2,Pacers,Mavericks,33 - 40,1,N/A,N/A,N/A
57,DeAndre Jordan,FT,None,5:39,2,Mavericks,Pacers,34 - 40,0,N/A,1,N/A
58,Cory Joseph,FG_UNASSISTED,None,5:28,2,Pacers,Mavericks,34 - 42,1,10,3,Jumper
59,DeAndre Jordan,FG_ASSISTED,Dorian Finney-Smith,5:07,2,Mavericks,Pacers,36 - 42,0,0,2,Layup
