,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
35,Bojan Bogdanovic,FG_ASSISTED,Darren Collison,8:09,1,Pacers,76ers,8 - 12,0,0,2,Layup
36,Wilson Chandler,FG_MISS,None,7:55,1,76ers,Pacers,8 - 12,1,27,3,Jumper
37,Ben Simmons,OFFENSIVE_REBOUND,None,7:51,1,76ers,Pacers,8 - 12,1,N/A,N/A,N/A
38,Joel Embiid,FG_ASSISTED,Ben Simmons,7:48,1,76ers,Pacers,8 - 14,1,0,2,Dunk
39,Bojan Bogdanovic,FG_MISS,None,7:41,1,Pacers,76ers,8 - 14,0,15,2,Jumper
40,Joel Embiid,DEFENSIVE_REBOUND,None,7:38,1,76ers,Pacers,8 - 14,1,N/A,N/A,N/A
41,Furkan Korkmaz,FG_ASSISTED,Ben Simmons,7:32,1,76ers,Pacers,8 - 17,1,26,3,Jumper
42,Victor Oladipo,FG_MISS,None,7:04,1,Pacers,76ers,8 - 17,0,0,2,Layup
43,Joel Embiid,DEFENSIVE_REBOUND,None,7:01,1,76ers,Pacers,8 - 17,1,N/A,N/A,N/A
44,Joel Embiid,FG_MISS,None,6:55,1,76ers,Pacers,8 - 17,1,26,3,Jumper
45,Thaddeus Young,DEFENSIVE_REBOUND,None,6:52,1,Pacers,76ers,8 - 17,0,N/A,N/A,N/A
46,Furkan Korkmaz,FOUL_ON_FLOOR,None,6:44,1,76ers,Pacers,8 - 17,1,N/A,N/A,N/A
47,Mike Muscala,SUBSTITUTION,Embiid Joel,6:44,1,76ers,Pacers,8 - 17,1,N/A,N/A,N/A
48,Landry Shamet,SUBSTITUTION,Chandler Wilson,6:44,1,76ers,Pacers,8 - 17,1,N/A,N/A,N/A
49,T.J. McConnell,SUBSTITUTION,Korkmaz Furkan,6:44,1,76ers,Pacers,8 - 17,1,N/A,N/A,N/A
50,Domantas Sabonis,SUBSTITUTION,Young Thaddeus,6:44,1,Pacers,76ers,8 - 17,0,N/A,N/A,N/A
51,Domantas Sabonis,FG_ASSISTED,Victor Oladipo,6:39,1,Pacers,76ers,10 - 17,0,13,2,Jumper
52,Ben Simmons,FG_MISS,None,6:20,1,76ers,Pacers,10 - 17,1, ,2,Jumper
53,Darren Collison,DEFENSIVE_REBOUND,None,6:18,1,Pacers,76ers,10 - 17,0,N/A,N/A,N/A
54,Landry Shamet,FOUL_ON_FLOOR,None,6:17,1,76ers,Pacers,10 - 17,1,N/A,N/A,N/A
55,Darren Collison,FT_MISS,None,6:17,1,Pacers,76ers,10 - 17,0,N/A,1,N/A
56,Team,OFFENSIVE_REBOUND,None,6:17,1,Pacers,76ers,10 - 17,0,N/A,N/A,N/A
57,Darren Collison,FT,None,6:17,1,Pacers,76ers,11 - 17,0,N/A,1,N/A
58,T.J. McConnell,TURNOVER,None,6:10,1,76ers,Pacers,11 - 17,1,N/A,N/A,N/A
59,Ben Simmons,Unknown,None,5:59,1,76ers,Pacers,11 - 17,1,N/A,N/A,N/A
60,Domantas Sabonis,FG_ASSISTED,Victor Oladipo,5:47,1,Pacers,76ers,13 - 17,0,5,2,Jumper
61,Team,Unknown,None,5:46,1,76ers,Pacers,13 - 17,1,N/A,N/A,N/A
62,Myles Turner,FOUL_ON_FLOOR,None,5:42,1,Pacers,76ers,13 - 17,0,N/A,N/A,N/A
63,Ben Simmons,FT,None,5:42,1,76ers,Pacers,13 - 18,1,N/A,1,N/A
64,Thaddeus Young,SUBSTITUTION,Turner Myles,5:42,1,Pacers,76ers,13 - 18,0,N/A,N/A,N/A
65,Ben Simmons,FT_MISS,None,5:42,1,76ers,Pacers,13 - 18,1,N/A,1,N/A
66,Domantas Sabonis,DEFENSIVE_REBOUND,None,5:40,1,Pacers,76ers,13 - 18,0,N/A,N/A,N/A
67,Victor Oladipo,FG_MISS,None,5:26,1,Pacers,76ers,13 - 18,0,16,2,Jumper
68,Landry Shamet,DEFENSIVE_REBOUND,None,5:23,1,76ers,Pacers,13 - 18,1,N/A,N/A,N/A
69,JJ Redick,FG_MISS,None,5:18,1,76ers,Pacers,13 - 18,1,24,3,Jumper
70,Domantas Sabonis,DEFENSIVE_REBOUND,None,5:15,1,Pacers,76ers,13 - 18,0,N/A,N/A,N/A
71,Domantas Sabonis,FG_ASSISTED,Darren Collison,5:07,1,Pacers,76ers,15 - 18,0,18,2,Jumper
72,JJ Redick,FG_MISS,None,4:45,1,76ers,Pacers,15 - 18,1,8,2,Jumper
73,T.J. McConnell,OFFENSIVE_REBOUND,None,4:36,1,76ers,Pacers,15 - 18,1,N/A,N/A,N/A
74,T.J. McConnell,FG_UNASSISTED,None,4:36,1,76ers,Pacers,15 - 20,1, ,2,Jumper
75,Darren Collison,TURNOVER,None,4:36,1,Pacers,76ers,15 - 20,0,N/A,N/A,N/A
76,T.J. McConnell,FG_MISS,None,4:36,1,76ers,Pacers,15 - 20,1,1,2,Jumper
77,T.J. McConnell,OFFENSIVE_REBOUND,None,4:36,1,76ers,Pacers,15 - 20,1,N/A,N/A,N/A
78,JJ Redick,FG_MISS,None,4:26,1,76ers,Pacers,15 - 20,1,23,3,Jumper
79,Domantas Sabonis,DEFENSIVE_REBOUND,None,4:23,1,Pacers,76ers,15 - 20,0,N/A,N/A,N/A
80,Bojan Bogdanovic,FG_MISS,None,4:11,1,Pacers,76ers,15 - 20,0,9,2,Jumper
81,Ben Simmons,DEFENSIVE_REBOUND,None,4:09,1,76ers,Pacers,15 - 20,1,N/A,N/A,N/A
82,Ben Simmons,FG_UNASSISTED,None,4:01,1,76ers,Pacers,15 - 22,1,0,2,Layup
83,Victor Oladipo,FG_MISS,None,3:46,1,Pacers,76ers,15 - 22,0,13,2,Jumper
84,T.J. McConnell,DEFENSIVE_REBOUND,None,3:43,1,76ers,Pacers,15 - 22,1,N/A,N/A,N/A
85,Ben Simmons,FG_MISS,None,3:24,1,76ers,Pacers,15 - 22,1, ,2,Jumper
86,Domantas Sabonis,DEFENSIVE_REBOUND,None,3:22,1,Pacers,76ers,15 - 22,0,N/A,N/A,N/A
87,Domantas Sabonis,FG_MISS,None,3:13,1,Pacers,76ers,15 - 22,0,16,2,Jumper
88,Landry Shamet,DEFENSIVE_REBOUND,None,3:09,1,76ers,Pacers,15 - 22,1,N/A,N/A,N/A
89,JJ Redick,TURNOVER,Darren Collison,3:00,1,76ers,Pacers,15 - 22,1,N/A,N/A,N/A
90,Victor Oladipo,FG_ASSISTED,Darren Collison,2:57,1,Pacers,76ers,17 - 22,0, ,2,Jumper
91,Ben Simmons,FG_ASSISTED,JJ Redick,2:37,1,76ers,Pacers,17 - 24,1,4,2,Jumper
92,Bojan Bogdanovic,TURNOVER,None,2:18,1,Pacers,76ers,17 - 24,0,N/A,N/A,N/A
93,Furkan Korkmaz,SUBSTITUTION,Redick JJ,2:18,1,76ers,Pacers,17 - 24,1,N/A,N/A,N/A
94,Wilson Chandler,SUBSTITUTION,Simmons Ben,2:18,1,76ers,Pacers,17 - 24,1,N/A,N/A,N/A
95,Joel Embiid,SUBSTITUTION,Muscala Mike,2:18,1,76ers,Pacers,17 - 24,1,N/A,N/A,N/A
96,Cory Joseph,SUBSTITUTION,Collison Darren,2:18,1,Pacers,76ers,17 - 24,0,N/A,N/A,N/A
97,Tyreke Evans,SUBSTITUTION,Oladipo Victor,2:18,1,Pacers,76ers,17 - 24,0,N/A,N/A,N/A
98,Doug McDermott,SUBSTITUTION,Bogdanovic Bojan,2:18,1,Pacers,76ers,17 - 24,0,N/A,N/A,N/A
99,Domantas Sabonis,FOUL_ON_FLOOR,None,2:07,1,Pacers,76ers,17 - 24,0,N/A,N/A,N/A
100,Joel Embiid,FG_UNASSISTED,None,1:56,1,76ers,Pacers,17 - 26,1,9,2,Jumper
101,Thaddeus Young,FG_ASSISTED,Cory Joseph,1:41,1,Pacers,76ers,19 - 26,0,4,2,Jumper
102,Furkan Korkmaz,FG_MISS,None,1:23,1,76ers,Pacers,19 - 26,1, ,3,Jumper
103,Tyreke Evans,DEFENSIVE_REBOUND,None,1:20,1,Pacers,76ers,19 - 26,0,N/A,N/A,N/A
